Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:39:54.460000,NOR,4,0 days 00:01:34.501000,37.0,3.0,,,0 days 00:00:30.451000,0 days 00:00:40.714000,0 days 00:00:23.336000,0 days 01:38:50.475000,0 days 01:39:31.189000,0 days 01:39:54.525000,233.0,253.0,278.0,288.0,True,HARD,4.0,True,McLaren,0 days 01:38:19.959000,2021-03-28 16:08:19.969,1,5.0,False,,False,True
0 days 01:41:28.856000,NOR,4,0 days 00:01:34.396000,38.0,3.0,,,0 days 00:00:30.463000,0 days 00:00:40.629000,0 days 00:00:23.304000,0 days 01:40:24.988000,0 days 01:41:05.617000,0 days 01:41:28.921000,,252.0,279.0,281.0,True,HARD,5.0,True,McLaren,0 days 01:39:54.460000,2021-03-28 16:09:54.470,1,5.0,False,,False,True
0 days 01:43:03.485000,NOR,4,0 days 00:01:34.629000,39.0,3.0,,,0 days 00:00:30.563000,0 days 00:00:40.657000,0 days 00:00:23.409000,0 days 01:41:59.484000,0 days 01:42:40.141000,0 days 01:43:03.550000,234.0,254.0,277.0,286.0,False,HARD,6.0,True,McLaren,0 days 01:41:28.856000,2021-03-28 16:11:28.866,1,4.0,False,,False,True
0 days 01:44:38.241000,NOR,4,0 days 00:01:34.756000,40.0,3.0,,,0 days 00:00:30.635000,0 days 00:00:40.711000,0 days 00:00:23.410000,0 days 01:43:34.185000,0 days 01:44:14.896000,0 days 01:44:38.306000,,253.0,279.0,285.0,False,HARD,7.0,True,McLaren,0 days 01:43:03.485000,2021-03-28 16:13:03.495,1,4.0,False,,False,True
0 days 01:46:13.041000,NOR,4,0 days 00:01:34.800000,41.0,3.0,,,0 days 00:00:30.591000,0 days 00:00:40.877000,0 days 00:00:23.332000,0 days 01:45:08.897000,0 days 01:45:49.774000,0 days 01:46:13.106000,235.0,256.0,280.0,,False,HARD,8.0,True,McLaren,0 days 01:44:38.241000,2021-03-28 16:14:38.251,1,4.0,False,,False,True
0 days 01:47:48.131000,NOR,4,0 days 00:01:35.090000,42.0,3.0,,,0 days 00:00:30.839000,0 days 00:00:40.683000,0 days 00:00:23.568000,0 days 01:46:43.945000,0 days 01:47:24.628000,0 days 01:47:48.196000,,259.0,283.0,287.0,False,HARD,9.0,True,McLaren,0 days 01:46:13.041000,2021-03-28 16:16:13.051,1,4.0,False,,False,True
0 days 01:49:22.936000,NOR,4,0 days 00:01:34.805000,43.0,3.0,,,0 days 00:00:30.689000,0 days 00:00:40.811000,0 days 00:00:23.305000,0 days 01:48:18.885000,0 days 01:48:59.696000,0 days 01:49:23.001000,234.0,257.0,279.0,291.0,False,HARD,10.0,True,McLaren,0 days 01:47:48.131000,2021-03-28 16:17:48.141,1,4.0,False,,False,True
0 days 01:50:57.669000,NOR,4,0 days 00:01:34.733000,44.0,3.0,,,0 days 00:00:30.719000,0 days 00:00:40.525000,0 days 00:00:23.489000,0 days 01:49:53.720000,0 days 01:50:34.245000,0 days 01:50:57.734000,235.0,261.0,278.0,282.0,False,HARD,11.0,True,McLaren,0 days 01:49:22.936000,2021-03-28 16:19:22.946,12,4.0,False,,False,True
0 days 01:52:32.485000,NOR,4,0 days 00:01:34.816000,45.0,3.0,,,0 days 00:00:30.733000,0 days 00:00:40.667000,0 days 00:00:23.416000,0 days 01:51:28.467000,0 days 01:52:09.134000,0 days 01:52:32.550000,,260.0,280.0,285.0,False,HARD,12.0,True,McLaren,0 days 01:50:57.669000,2021-03-28 16:20:57.679,1,4.0,False,,False,True
0 days 01:54:07.534000,NOR,4,0 days 00:01:35.049000,46.0,3.0,,,0 days 00:00:30.709000,0 days 00:00:40.910000,0 days 00:00:23.430000,0 days 01:53:03.259000,0 days 01:53:44.169000,0 days 01:54:07.599000,237.0,259.0,277.0,288.0,False,HARD,13.0,True,McLaren,0 days 01:52:32.485000,2021-03-28 16:22:32.495,1,4.0,False,,False,True
0 days 01:55:42.377000,NOR,4,0 days 00:01:34.843000,47.0,3.0,,,0 days 00:00:30.715000,0 days 00:00:40.626000,0 days 00:00:23.502000,0 days 01:54:38.314000,0 days 01:55:18.940000,0 days 01:55:42.442000,234.0,260.0,277.0,281.0,False,HARD,14.0,True,McLaren,0 days 01:54:07.534000,2021-03-28 16:24:07.544,1,4.0,False,,False,True
0 days 01:57:17.407000,NOR,4,0 days 00:01:35.030000,48.0,3.0,,,0 days 00:00:30.781000,0 days 00:00:40.750000,0 days 00:00:23.499000,0 days 01:56:13.223000,0 days 01:56:53.973000,0 days 01:57:17.472000,235.0,262.0,278.0,285.0,False,HARD,15.0,True,McLaren,0 days 01:55:42.377000,2021-03-28 16:25:42.387,1,4.0,False,,False,True
0 days 01:58:52.519000,NOR,4,0 days 00:01:35.112000,49.0,3.0,,,0 days 00:00:30.808000,0 days 00:00:40.913000,0 days 00:00:23.391000,0 days 01:57:48.280000,0 days 01:58:29.193000,0 days 01:58:52.584000,234.0,260.0,279.0,278.0,False,HARD,16.0,True,McLaren,0 days 01:57:17.407000,2021-03-28 16:27:17.417,1,4.0,False,,False,True
0 days 02:00:27.287000,NOR,4,0 days 00:01:34.768000,50.0,3.0,,,0 days 00:00:30.686000,0 days 00:00:40.664000,0 days 00:00:23.418000,0 days 01:59:23.270000,0 days 02:00:03.934000,0 days 02:00:27.352000,236.0,259.0,279.0,282.0,False,HARD,17.0,True,McLaren,0 days 01:58:52.519000,2021-03-28 16:28:52.529,1,4.0,False,,False,True
0 days 02:02:02.361000,NOR,4,0 days 00:01:35.074000,51.0,3.0,,,0 days 00:00:30.819000,0 days 00:00:40.771000,0 days 00:00:23.484000,0 days 02:00:58.171000,0 days 02:01:38.942000,0 days 02:02:02.426000,235.0,262.0,277.0,280.0,False,HARD,18.0,True,McLaren,0 days 02:00:27.287000,2021-03-28 16:30:27.297,1,4.0,False,,False,True
0 days 02:03:37.669000,NOR,4,0 days 00:01:35.308000,52.0,3.0,,,0 days 00:00:30.950000,0 days 00:00:40.670000,0 days 00:00:23.688000,0 days 02:02:33.376000,0 days 02:03:14.046000,0 days 02:03:37.734000,,263.0,279.0,279.0,False,HARD,19.0,True,McLaren,0 days 02:02:02.361000,2021-03-28 16:32:02.371,1,4.0,False,,False,True
0 days 02:05:13.098000,NOR,4,0 days 00:01:35.429000,53.0,3.0,,,0 days 00:00:30.977000,0 days 00:00:40.980000,0 days 00:00:23.472000,0 days 02:04:08.711000,0 days 02:04:49.691000,0 days 02:05:13.163000,,255.0,279.0,283.0,False,HARD,20.0,True,McLaren,0 days 02:03:37.669000,2021-03-28 16:33:37.679,1,4.0,False,,False,True
0 days 02:06:48.998000,NOR,4,0 days 00:01:35.900000,54.0,3.0,,,0 days 00:00:30.847000,0 days 00:00:41.248000,0 days 00:00:23.805000,0 days 02:05:44.010000,0 days 02:06:25.258000,0 days 02:06:49.063000,236.0,259.0,279.0,281.0,False,HARD,21.0,True,McLaren,0 days 02:05:13.098000,2021-03-28 16:35:13.108,1,4.0,False,,False,True
0 days 02:08:24.716000,NOR,4,0 days 00:01:35.718000,55.0,3.0,,,0 days 00:00:30.958000,0 days 00:00:41.035000,0 days 00:00:23.725000,0 days 02:07:20.021000,0 days 02:08:01.056000,0 days 02:08:24.781000,235.0,259.0,278.0,,False,HARD,22.0,True,McLaren,0 days 02:06:48.998000,2021-03-28 16:36:49.008,1,4.0,False,,False,True
0 days 02:10:00.449000,NOR,4,0 days 00:01:35.733000,56.0,3.0,,,0 days 00:00:30.789000,0 days 00:00:41.032000,0 days 00:00:23.912000,0 days 02:08:55.570000,0 days 02:09:36.602000,0 days 02:10:00.514000,,259.0,231.0,282.0,False,HARD,23.0,True,McLaren,0 days 02:08:24.716000,2021-03-28 16:38:24.726,1,4.0,False,,False,True
0 days 00:39:09.712000,HAM,44,,1.0,1.0,,,,0 days 00:00:54.367000,0 days 00:00:32.463000,,0 days 00:38:37.358000,0 days 00:39:09.824000,233.0,124.0,223.0,258.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:37:09.970000,2021-03-28 15:07:09.980,124,3.0,False,,False,False
0 days 00:41:32.424000,HAM,44,0 days 00:02:22.712000,2.0,1.0,,,0 days 00:00:46.763000,0 days 00:01:01.387000,0 days 00:00:34.562000,0 days 00:39:56.451000,0 days 00:40:57.838000,0 days 00:41:32.400000,142.0,172.0,229.0,246.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:39:09.712000,2021-03-28 15:09:09.722,4,2.0,False,,False,False
0 days 00:44:09.082000,HAM,44,,3.0,1.0,,,0 days 00:00:43.739000,0 days 00:01:02.116000,0 days 00:00:50.801000,0 days 00:42:16.144000,0 days 00:43:18.265000,0 days 00:44:09.185000,138.0,117.0,167.0,153.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:41:32.424000,2021-03-28 15:11:32.434,41,2.0,False,,False,False
0 days 00:45:54.014000,HAM,44,0 days 00:01:44.932000,4.0,1.0,,,0 days 00:00:32.339000,0 days 00:00:41.826000,0 days 00:00:30.767000,0 days 00:44:41.397000,0 days 00:45:23.223000,0 days 00:45:53.990000,237.0,253.0,202.0,290.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:44:09.082000,2021-03-28 15:14:09.092,126,2.0,False,,False,False
0 days 00:47:39.153000,HAM,44,0 days 00:01:45.139000,5.0,1.0,,,0 days 00:00:39.813000,0 days 00:00:41.410000,0 days 00:00:23.916000,0 days 00:46:33.803000,0 days 00:47:15.213000,0 days 00:47:39.129000,216.0,261.0,277.0,211.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:45:54.014000,2021-03-28 15:15:54.024,671,2.0,False,,False,False
