constructorId,driverId,driverNumber,engineManufacturerId,gap,gridPosition,interval,laps,points,position,race,reasonRetired,time,timePenalty,tyreManufacturerId,year
mercedes,nico-rosberg,6,mercedes,,1,,53,25,1,04-russia,,1:32:41.997,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+25.022,10,+25.022,53,18,2,04-russia,,1:33:07.019,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+31.998,3,+6.976,53,15,3,04-russia,,1:33:13.995,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+50.217,2,+18.219,53,12,4,04-russia,,1:33:32.214,,pirelli,2016
williams,felipe-massa,19,mercedes,+1:14.427,4,+24.210,53,10,5,04-russia,,1:33:56.424,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1 lap,14,,52,8,6,04-russia,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,17,,52,6,7,04-russia,,,,pirelli,2016
haas,romain-grosjean,8,ferrari,+1 lap,15,,52,4,8,04-russia,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1 lap,6,,52,2,9,04-russia,,,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,12,,52,1,10,04-russia,,,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1 lap,5,,52,,11,04-russia,,,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1 lap,11,,52,,12,04-russia,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,18,,52,,13,04-russia,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,22,,52,,14,04-russia,,,,pirelli,2016
red-bull,daniil-kvyat,26,tag-heuer,+1 lap,8,,52,,15,04-russia,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,19,,52,,16,04-russia,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,16,,52,,17,04-russia,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+2 laps,20,,51,,18,04-russia,,,,pirelli,2016
toro-rosso,max-verstappen,33,ferrari,,9,,33,,DNF,04-russia,Power unit,,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,,7,,0,,DNF,04-russia,Collision,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,13,,0,,DNF,04-russia,Collision,,,pirelli,2016
manor,rio-haryanto,88,mercedes,,21,,0,,DNF,04-russia,Collision,,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,,4,,66,25,1,05-spain,,1:41:40.017,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+0.616,5,+0.616,66,18,2,05-spain,,1:41:40.633,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+5.581,6,+4.965,66,15,3,05-spain,,1:41:45.598,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+43.950,3,+38.369,66,12,4,05-spain,,1:42:23.967,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+45.271,7,+1.321,66,10,5,05-spain,,1:42:25.288,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1:01.395,8,+16.124,66,8,6,05-spain,,1:42:41.412,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1:19.538,9,+18.143,66,6,7,05-spain,,1:42:59.555,,pirelli,2016
williams,felipe-massa,19,mercedes,+1:20.707,18,+1.169,66,4,8,05-spain,,1:43:00.724,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,12,,65,2,9,05-spain,,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,+1 lap,13,,65,1,10,05-spain,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,16,,65,,11,05-spain,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,19,,65,,12,05-spain,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,17,,65,,13,05-spain,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,20,,65,,14,05-spain,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,15,,65,,15,05-spain,,,10.000,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1 lap,21,,65,,16,05-spain,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+1 lap,22,,65,,17,05-spain,,,,pirelli,2016
haas,romain-grosjean,8,ferrari,,14,,56,,DNF,05-spain,Brakes,,,pirelli,2016
mclaren,fernando-alonso,14,honda,,10,,45,,DNF,05-spain,Power unit,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,11,,20,,DNF,05-spain,Oil leak,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,1,,0,,DNF,05-spain,Collision,,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,2,,0,,DNF,05-spain,Collision,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,3,,78,25,1,06-monaco,,1:59:29.133,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+7.252,1,+7.252,78,18,2,06-monaco,,1:59:36.385,,pirelli,2016
force-india,sergio-perez,11,mercedes,+13.825,7,+6.573,78,15,3,06-monaco,,1:59:42.958,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+15.846,4,+2.021,78,12,4,06-monaco,,1:59:44.979,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1:25.076,9,+1:09.230,78,10,5,06-monaco,,2:00:54.209,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1:32.999,5,+7.923,78,8,6,06-monaco,,2:01:02.132,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+1:33.290,2,+0.291,78,6,7,06-monaco,,2:01:02.423,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1 lap,6,,77,4,8,06-monaco,,,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,13,,77,2,9,06-monaco,,,,pirelli,2016
williams,felipe-massa,19,mercedes,+1 lap,14,,77,1,10,06-monaco,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,12,,77,,11,06-monaco,,,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,10,,77,,12,06-monaco,,,10.000,pirelli,2016
haas,romain-grosjean,8,ferrari,+2 laps,15,,76,,13,06-monaco,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+2 laps,20,,76,,14,06-monaco,,,10.000,pirelli,2016
manor,rio-haryanto,88,mercedes,+4 laps,19,,74,,15,06-monaco,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,17,,51,,DNF,06-monaco,Collision damage,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,,PL,,48,,DNF,06-monaco,Collision damage,,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,,PL,,34,,DNF,06-monaco,Accident,,,pirelli,2016
renault,kevin-magnussen,20,renault,,16,,32,,DNF,06-monaco,Collision damage,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,,8,,18,,DNF,06-monaco,Collision,,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,,11,,10,,DNF,06-monaco,Accident damage,,,pirelli,2016
renault,jolyon-palmer,30,renault,,18,,7,,DNF,06-monaco,Accident,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,1,,70,25,1,07-canada,,1:31:05.296,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+5.011,3,+5.011,70,18,2,07-canada,,1:31:10.307,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+46.422,7,+41.411,70,15,3,07-canada,,1:31:51.718,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+53.020,5,+6.598,70,12,4,07-canada,,1:31:58.316,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+1:02.093,2,+9.073,70,10,5,07-canada,,1:32:07.389,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1:03.017,6,+0.924,70,8,6,07-canada,,1:32:08.313,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1:03.634,4,+0.617,70,6,7,07-canada,,1:32:08.930,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1 lap,9,,69,4,8,07-canada,,,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1 lap,20,,69,2,9,07-canada,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1 lap,11,,69,1,10,07-canada,,,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1 lap,10,,69,,11,07-canada,,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,+1 lap,15,,69,,12,07-canada,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+2 laps,13,,68,,13,07-canada,,,,pirelli,2016
haas,romain-grosjean,8,ferrari,+2 laps,14,,68,,14,07-canada,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+2 laps,21,,68,,15,07-canada,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+2 laps,22,,68,,16,07-canada,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+2 laps,17,,68,,17,07-canada,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+2 laps,18,,68,,18,07-canada,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+2 laps,19,,68,,19,07-canada,,,,pirelli,2016
williams,felipe-massa,19,mercedes,,8,,35,,DNF,07-canada,Overheating,,,pirelli,2016
renault,jolyon-palmer,30,renault,,16,,16,,DNF,07-canada,Water leak,,,pirelli,2016
mclaren,jenson-button,22,honda,,12,,9,,DNF,07-canada,Engine,,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,,1,,51,25,1,08-europe,,1:32:52.366,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+16.696,3,+16.696,51,18,2,08-europe,,1:33:09.062,,pirelli,2016
force-india,sergio-perez,11,mercedes,+25.241,7,+8.545,51,15,3,08-europe,,1:33:17.607,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+33.102,4,+7.861,51,12,4,08-europe,,1:33:25.468,5.000,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,+56.335,10,+23.233,51,10,5,08-europe,,1:33:48.701,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1:00.886,8,+4.551,51,8,6,08-europe,,1:33:53.252,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+1:09.229,2,+8.343,51,6,7,08-europe,,1:34:01.595,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+1:10.696,9,+1.467,51,4,8,08-europe,,1:34:03.062,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1:17.708,12,+7.012,51,2,9,08-europe,,1:34:10.074,,pirelli,2016
williams,felipe-massa,19,mercedes,+1:25.375,5,+7.667,51,1,10,08-europe,,1:34:17.741,,pirelli,2016
mclaren,jenson-button,22,honda,+1:44.817,19,+19.442,51,,11,08-europe,,1:34:37.183,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,15,,50,,12,08-europe,,,,pirelli,2016
haas,romain-grosjean,8,ferrari,+1 lap,11,,50,,13,08-europe,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,PL,,50,,14,08-europe,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,21,,50,,15,08-europe,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,14,,50,,16,08-europe,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,20,,50,,17,08-europe,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+2 laps,16,,49,,18,08-europe,,,,pirelli,2016
mclaren,fernando-alonso,14,honda,,13,,42,,DNF,08-europe,Gearbox,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,,17,,39,,DNF,08-europe,Brakes,,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,,18,,31,,DNF,08-europe,Suspension,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,,6,,6,,DNF,08-europe,Suspension,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,1,,71,25,1,09-austria,,1:27:38.107,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+5.719,8,+5.719,71,18,2,09-austria,,1:27:43.826,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+6.024,4,+0.305,71,15,3,09-austria,,1:27:44.131,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+26.710,6,+20.686,71,12,4,09-austria,,1:28:04.817,10.000,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+30.981,5,+4.271,71,10,5,09-austria,,1:28:09.088,,pirelli,2016
mclaren,jenson-button,22,honda,+37.706,3,+6.725,71,8,6,09-austria,,1:28:15.813,,pirelli,2016
haas,romain-grosjean,8,ferrari,+44.668,13,+6.962,71,6,7,09-austria,,1:28:22.775,5.000,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+47.400,15,+2.732,71,4,8,09-austria,,1:28:25.507,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,7,,70,2,9,09-austria,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+1 lap,12,,70,1,10,09-austria,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,11,,70,,11,09-austria,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,19,,70,,12,09-austria,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,21,,70,,13,09-austria,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,17,,70,,14,09-austria,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+1 lap,18,,70,,15,09-austria,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+1 lap,20,,70,,16,09-austria,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,,16,,69,,17,09-austria,Accident,,,pirelli,2016
mclaren,fernando-alonso,14,honda,,14,,64,,18,09-austria,Battery,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,,2,,64,,19,09-austria,Brakes,,,pirelli,2016
williams,felipe-massa,19,mercedes,,PL,,63,,20,09-austria,Brakes,,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,,9,,26,,DNF,09-austria,Accident,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,,PL,,2,,DNF,09-austria,Mechenical,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,1,,52,25,1,10-great-britain,,1:34:55.831,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+8.250,3,+8.250,52,18,2,10-great-britain,,1:35:04.081,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+16.911,2,+8.661,52,15,3,10-great-britain,,1:35:12.742,10.000,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+26.211,4,+9.300,52,12,4,10-great-britain,,1:35:22.042,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+1:09.743,5,+43.532,52,10,5,10-great-britain,,1:36:05.574,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1:16.941,10,+7.198,52,8,6,10-great-britain,,1:36:12.772,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1:17.712,8,+0.771,52,6,7,10-great-britain,,1:36:13.543,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1:25.858,7,+8.146,52,4,8,10-great-britain,,1:36:21.689,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+1:31.654,11,+5.796,52,2,9,10-great-britain,,1:36:27.485,5.000,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,+1:32.600,15,+0.946,52,1,10,10-great-britain,,1:36:28.431,,pirelli,2016
williams,felipe-massa,19,mercedes,+1 lap,12,,51,,11,10-great-britain,,,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,17,,51,,12,10-great-britain,,,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1 lap,9,,51,,13,10-great-britain,,,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,6,,51,,14,10-great-britain,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,21,,51,,15,10-great-britain,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,14,,51,,16,10-great-britain,,,,pirelli,2016
renault,kevin-magnussen,20,renault,,16,,49,,17,10-great-britain,Gearbox,,,pirelli,2016
renault,jolyon-palmer,30,renault,,18,,37,,DNF,10-great-britain,Gearbox,,,pirelli,2016
manor,rio-haryanto,88,mercedes,,19,,24,,DNF,10-great-britain,Spun off,,,pirelli,2016
haas,romain-grosjean,8,ferrari,,13,,17,,DNF,10-great-britain,Transmission,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,,PL,,11,,DNF,10-great-britain,Power unit,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,,20,,6,,DNF,10-great-britain,Spun off,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,2,,70,25,1,11-hungary,,1:40:30.115,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+1.977,1,+1.977,70,18,2,11-hungary,,1:40:32.092,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+27.539,3,+25.562,70,15,3,11-hungary,,1:40:57.654,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+28.213,5,+0.674,70,12,4,11-hungary,,1:40:58.328,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+48.659,4,+20.446,70,10,5,11-hungary,,1:41:18.774,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+49.044,14,+0.385,70,8,6,11-hungary,,1:41:19.159,,pirelli,2016
mclaren,fernando-alonso,14,honda,+1 lap,7,,69,6,7,11-hungary,,,,pirelli,2016
toro-rosso,carlos-sainz-jr,55,ferrari,+1 lap,6,,69,4,8,11-hungary,,,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,10,,69,2,9,11-hungary,,,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1 lap,9,,69,1,10,11-hungary,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1 lap,13,,69,,11,11-hungary,,,,pirelli,2016
renault,jolyon-palmer,30,renault,+1 lap,17,,69,,12,11-hungary,,,,pirelli,2016
haas,esteban-gutierrez,21,ferrari,+1 lap,15,,69,,13,11-hungary,,,5.000,pirelli,2016
haas,romain-grosjean,8,ferrari,+1 lap,11,,69,,14,11-hungary,,,,pirelli,2016
renault,kevin-magnussen,20,renault,+1 lap,19,,69,,15,11-hungary,,,,pirelli,2016
toro-rosso,daniil-kvyat,26,ferrari,+1 lap,12,,69,,16,11-hungary,,,,pirelli,2016
sauber,felipe-nasr,12,ferrari,+1 lap,16,,69,,17,11-hungary,,,,pirelli,2016
williams,felipe-massa,19,mercedes,+2 laps,18,,68,,18,11-hungary,,,,pirelli,2016
manor,pascal-wehrlein,94,mercedes,+2 laps,20,,68,,19,11-hungary,,,,pirelli,2016
sauber,marcus-ericsson,9,ferrari,+2 laps,PL,,68,,20,11-hungary,,,,pirelli,2016
manor,rio-haryanto,88,mercedes,+2 laps,21,,68,,21,11-hungary,,,,pirelli,2016
mclaren,jenson-button,22,honda,,8,,60,,DNF,11-hungary,Oil leak,,,pirelli,2016
mercedes,lewis-hamilton,44,mercedes,,2,,67,25,1,12-germany,,1:30:44.200,,pirelli,2016
red-bull,daniel-ricciardo,3,tag-heuer,+6.996,3,+6.996,67,18,2,12-germany,,1:30:51.196,,pirelli,2016
red-bull,max-verstappen,33,tag-heuer,+13.413,4,+6.417,67,15,3,12-germany,,1:30:57.613,,pirelli,2016
mercedes,nico-rosberg,6,mercedes,+15.845,1,+2.432,67,12,4,12-germany,,1:31:00.045,,pirelli,2016
ferrari,sebastian-vettel,5,ferrari,+32.570,6,+16.725,67,10,5,12-germany,,1:31:16.770,,pirelli,2016
ferrari,kimi-raikkonen,7,ferrari,+37.023,5,+4.453,67,8,6,12-germany,,1:31:21.223,,pirelli,2016
force-india,nico-hulkenberg,27,mercedes,+1:10.049,8,+33.026,67,6,7,12-germany,,1:31:54.249,,pirelli,2016
mclaren,jenson-button,22,honda,+1 lap,12,,66,4,8,12-germany,,,,pirelli,2016
williams,valtteri-bottas,77,mercedes,+1 lap,7,,66,2,9,12-germany,,,,pirelli,2016
force-india,sergio-perez,11,mercedes,+1 lap,9,,66,1,10,12-germany,,,,pirelli,2016
