constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
red-bull,daniel-ricciardo,3,renault,+1.071,+0.277,39,3,04-china,1:41.473,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.679,+0.608,48,4,04-china,1:42.081,pirelli,2014
red-bull,sebastian-vettel,1,renault,+1.767,+0.088,37,5,04-china,1:42.169,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.826,+0.059,32,6,04-china,1:42.228,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.855,+0.029,42,7,04-china,1:42.257,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.898,+0.043,34,8,04-china,1:42.300,pirelli,2014
williams,felipe-massa,19,mercedes,+1.977,+0.079,34,9,04-china,1:42.379,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.222,+0.245,33,10,04-china,1:42.624,pirelli,2014
williams,valtteri-bottas,77,mercedes,+2.258,+0.036,52,11,04-china,1:42.660,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+2.299,+0.041,33,12,04-china,1:42.701,pirelli,2014
marussia,max-chilton,4,ferrari,+2.473,+0.174,50,13,04-china,1:42.875,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.494,+0.021,34,14,04-china,1:42.896,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+2.665,+0.171,34,15,04-china,1:43.067,pirelli,2014
caterham,kamui-kobayashi,10,renault,+2.921,+0.256,48,16,04-china,1:43.323,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+2.935,+0.014,33,17,04-china,1:43.337,pirelli,2014
mclaren,jenson-button,22,mercedes,+2.973,+0.038,30,18,04-china,1:43.375,pirelli,2014
caterham,marcus-ericsson,9,renault,+3.218,+0.245,30,19,04-china,1:43.620,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+3.964,+0.746,4,20,04-china,1:44.366,pirelli,2014
marussia,jules-bianchi,17,ferrari,+4.423,+0.459,36,21,04-china,1:44.825,pirelli,2014
sauber,adrian-sutil,99,ferrari,+17.974,+13.551,2,22,04-china,1:58.376,pirelli,2014
red-bull,sebastian-vettel,1,renault,,,55,1,05-spain,1:28.918,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.318,+0.318,51,2,05-spain,1:29.236,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.565,+0.247,54,3,05-spain,1:29.483,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+0.980,+0.415,55,4,05-spain,1:29.898,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+1.094,+0.114,65,5,05-spain,1:30.012,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1.351,+0.257,59,6,05-spain,1:30.269,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.400,+0.049,43,7,05-spain,1:30.318,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.506,+0.106,47,8,05-spain,1:30.424,pirelli,2014
williams,felipe-massa,19,mercedes,+1.550,+0.044,55,9,05-spain,1:30.468,pirelli,2014
mclaren,jenson-button,22,mercedes,+1.645,+0.095,43,10,05-spain,1:30.563,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.662,+0.017,53,11,05-spain,1:30.580,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.748,+0.086,55,12,05-spain,1:30.666,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.838,+0.090,39,13,05-spain,1:30.756,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+2.150,+0.312,47,14,05-spain,1:31.068,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+2.317,+0.167,39,15,05-spain,1:31.235,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.493,+0.176,42,16,05-spain,1:31.411,pirelli,2014
sauber,adrian-sutil,99,ferrari,+2.555,+0.062,38,17,05-spain,1:31.473,pirelli,2014
marussia,max-chilton,4,ferrari,+2.849,+0.294,44,18,05-spain,1:31.767,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.863,+0.014,18,19,05-spain,1:31.781,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.866,+0.003,46,20,05-spain,1:31.784,pirelli,2014
caterham,kamui-kobayashi,10,renault,+4.146,+1.280,25,21,05-spain,1:33.064,pirelli,2014
caterham,marcus-ericsson,9,renault,+4.432,+0.286,54,22,05-spain,1:33.350,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,,,75,1,06-monaco,1:18.479,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.773,+0.773,70,2,06-monaco,1:19.252,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.882,+0.109,34,3,06-monaco,1:19.361,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.946,+0.064,33,4,06-monaco,1:19.425,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.248,+0.302,54,5,06-monaco,1:19.727,pirelli,2014
williams,felipe-massa,19,mercedes,+1.835,+0.587,48,6,06-monaco,1:20.314,pirelli,2014
marussia,max-chilton,4,ferrari,+2.100,+0.265,69,7,06-monaco,1:20.579,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+2.178,+0.078,75,8,06-monaco,1:20.657,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.288,+0.110,38,9,06-monaco,1:20.767,pirelli,2014
caterham,marcus-ericsson,9,renault,+2.432,+0.144,53,10,06-monaco,1:20.911,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+2.500,+0.068,53,11,06-monaco,1:20.979,pirelli,2014
mclaren,jenson-button,22,mercedes,+2.568,+0.068,42,12,06-monaco,1:21.047,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.604,+0.036,35,13,06-monaco,1:21.083,pirelli,2014
williams,valtteri-bottas,77,mercedes,+2.626,+0.022,50,14,06-monaco,1:21.105,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+2.667,+0.041,41,15,06-monaco,1:21.146,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.775,+0.108,42,16,06-monaco,1:21.254,pirelli,2014
sauber,adrian-sutil,99,ferrari,+3.282,+0.507,23,17,06-monaco,1:21.761,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+3.532,+0.250,8,18,06-monaco,1:22.011,pirelli,2014
caterham,kamui-kobayashi,10,renault,+3.946,+0.414,16,19,06-monaco,1:22.425,pirelli,2014
red-bull,sebastian-vettel,1,renault,+41.026,+37.080,3,20,06-monaco,1:59.505,pirelli,2014
williams,felipe-massa,19,mercedes,,,58,1,07-canada,1:18.504,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+0.025,+0.025,68,2,07-canada,1:18.529,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+0.110,+0.085,64,3,07-canada,1:18.614,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.136,+0.026,68,4,07-canada,1:18.640,pirelli,2014
mclaren,jenson-button,22,mercedes,+0.255,+0.119,64,5,07-canada,1:18.759,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+0.315,+0.060,56,6,07-canada,1:18.819,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.377,+0.062,33,7,07-canada,1:18.881,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+0.432,+0.055,64,8,07-canada,1:18.936,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+0.438,+0.006,24,9,07-canada,1:18.942,pirelli,2014
red-bull,sebastian-vettel,1,renault,+0.667,+0.229,48,10,07-canada,1:19.171,pirelli,2014
williams,valtteri-bottas,77,mercedes,+0.817,+0.150,52,11,07-canada,1:19.321,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+0.895,+0.078,56,12,07-canada,1:19.399,pirelli,2014
force-india,sergio-perez,11,mercedes,+0.987,+0.092,63,13,07-canada,1:19.491,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+1.146,+0.159,54,14,07-canada,1:19.650,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1.474,+0.328,43,15,07-canada,1:19.978,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.608,+0.134,51,16,07-canada,1:20.112,pirelli,2014
