driverId,points,position,race,year
nico-hulkenberg,19,16,11-hungary,2012
jean-eric-vergne,4,17,11-hungary,2012
daniel-ricciardo,2,18,11-hungary,2012
heikki-kovalainen,0,19,11-hungary,2012
vitaly-petrov,0,20,11-hungary,2012
timo-glock,0,21,11-hungary,2012
charles-pic,0,22,11-hungary,2012
narain-karthikeyan,0,23,11-hungary,2012
pedro-de-la-rosa,0,24,11-hungary,2012
fernando-alonso,164,1,12-belgium,2012
sebastian-vettel,140,2,12-belgium,2012
mark-webber,132,3,12-belgium,2012
kimi-raikkonen,131,4,12-belgium,2012
lewis-hamilton,117,5,12-belgium,2012
jenson-button,101,6,12-belgium,2012
nico-rosberg,77,7,12-belgium,2012
romain-grosjean,76,8,12-belgium,2012
sergio-perez,47,9,12-belgium,2012
michael-schumacher,35,10,12-belgium,2012
felipe-massa,35,11,12-belgium,2012
kamui-kobayashi,33,12,12-belgium,2012
nico-hulkenberg,31,13,12-belgium,2012
pastor-maldonado,29,14,12-belgium,2012
paul-di-resta,28,15,12-belgium,2012
bruno-senna,24,16,12-belgium,2012
jean-eric-vergne,8,17,12-belgium,2012
daniel-ricciardo,4,18,12-belgium,2012
vitaly-petrov,0,19,12-belgium,2012
heikki-kovalainen,0,20,12-belgium,2012
timo-glock,0,21,12-belgium,2012
charles-pic,0,22,12-belgium,2012
narain-karthikeyan,0,23,12-belgium,2012
pedro-de-la-rosa,0,24,12-belgium,2012
fernando-alonso,179,1,13-italy,2012
lewis-hamilton,142,2,13-italy,2012
kimi-raikkonen,141,3,13-italy,2012
sebastian-vettel,140,4,13-italy,2012
mark-webber,132,5,13-italy,2012
jenson-button,101,6,13-italy,2012
nico-rosberg,83,7,13-italy,2012
romain-grosjean,76,8,13-italy,2012
sergio-perez,65,9,13-italy,2012
felipe-massa,47,10,13-italy,2012
michael-schumacher,43,11,13-italy,2012
kamui-kobayashi,35,12,13-italy,2012
paul-di-resta,32,13,13-italy,2012
nico-hulkenberg,31,14,13-italy,2012
pastor-maldonado,29,15,13-italy,2012
bruno-senna,25,16,13-italy,2012
jean-eric-vergne,8,17,13-italy,2012
daniel-ricciardo,4,18,13-italy,2012
heikki-kovalainen,0,19,13-italy,2012
vitaly-petrov,0,20,13-italy,2012
jerome-dambrosio,0,21,13-italy,2012
timo-glock,0,22,13-italy,2012
charles-pic,0,23,13-italy,2012
narain-karthikeyan,0,24,13-italy,2012
pedro-de-la-rosa,0,25,13-italy,2012
fernando-alonso,194,1,14-singapore,2012
sebastian-vettel,165,2,14-singapore,2012
kimi-raikkonen,149,3,14-singapore,2012
lewis-hamilton,142,4,14-singapore,2012
mark-webber,132,5,14-singapore,2012
jenson-button,119,6,14-singapore,2012
nico-rosberg,93,7,14-singapore,2012
romain-grosjean,82,8,14-singapore,2012
sergio-perez,66,9,14-singapore,2012
felipe-massa,51,10,14-singapore,2012
paul-di-resta,44,11,14-singapore,2012
michael-schumacher,43,12,14-singapore,2012
kamui-kobayashi,35,13,14-singapore,2012
nico-hulkenberg,31,14,14-singapore,2012
pastor-maldonado,29,15,14-singapore,2012
bruno-senna,25,16,14-singapore,2012
jean-eric-vergne,8,17,14-singapore,2012
daniel-ricciardo,6,18,14-singapore,2012
timo-glock,0,19,14-singapore,2012
heikki-kovalainen,0,20,14-singapore,2012
vitaly-petrov,0,21,14-singapore,2012
jerome-dambrosio,0,22,14-singapore,2012
charles-pic,0,23,14-singapore,2012
narain-karthikeyan,0,24,14-singapore,2012
pedro-de-la-rosa,0,25,14-singapore,2012
fernando-alonso,194,1,15-japan,2012
sebastian-vettel,190,2,15-japan,2012
kimi-raikkonen,157,3,15-japan,2012
lewis-hamilton,152,4,15-japan,2012
mark-webber,134,5,15-japan,2012
jenson-button,131,6,15-japan,2012
nico-rosberg,93,7,15-japan,2012
romain-grosjean,82,8,15-japan,2012
felipe-massa,69,9,15-japan,2012
sergio-perez,66,10,15-japan,2012
kamui-kobayashi,50,11,15-japan,2012
paul-di-resta,44,12,15-japan,2012
michael-schumacher,43,13,15-japan,2012
nico-hulkenberg,37,14,15-japan,2012
pastor-maldonado,33,15,15-japan,2012
bruno-senna,25,16,15-japan,2012
jean-eric-vergne,8,17,15-japan,2012
daniel-ricciardo,7,18,15-japan,2012
timo-glock,0,19,15-japan,2012
heikki-kovalainen,0,20,15-japan,2012
vitaly-petrov,0,21,15-japan,2012
jerome-dambrosio,0,22,15-japan,2012
charles-pic,0,23,15-japan,2012
narain-karthikeyan,0,24,15-japan,2012
pedro-de-la-rosa,0,25,15-japan,2012
sebastian-vettel,215,1,16-korea,2012
fernando-alonso,209,2,16-korea,2012
kimi-raikkonen,167,3,16-korea,2012
lewis-hamilton,153,4,16-korea,2012
mark-webber,152,5,16-korea,2012
jenson-button,131,6,16-korea,2012
nico-rosberg,93,7,16-korea,2012
romain-grosjean,88,8,16-korea,2012
felipe-massa,81,9,16-korea,2012
sergio-perez,66,10,16-korea,2012
kamui-kobayashi,50,11,16-korea,2012
nico-hulkenberg,45,12,16-korea,2012
paul-di-resta,44,13,16-korea,2012
michael-schumacher,43,14,16-korea,2012
pastor-maldonado,33,15,16-korea,2012
bruno-senna,25,16,16-korea,2012
jean-eric-vergne,12,17,16-korea,2012
daniel-ricciardo,9,18,16-korea,2012
timo-glock,0,19,16-korea,2012
heikki-kovalainen,0,20,16-korea,2012
vitaly-petrov,0,21,16-korea,2012
jerome-dambrosio,0,22,16-korea,2012
charles-pic,0,23,16-korea,2012
narain-karthikeyan,0,24,16-korea,2012
pedro-de-la-rosa,0,25,16-korea,2012
sebastian-vettel,240,1,17-india,2012
fernando-alonso,227,2,17-india,2012
kimi-raikkonen,173,3,17-india,2012
mark-webber,167,4,17-india,2012
lewis-hamilton,165,5,17-india,2012
jenson-button,141,6,17-india,2012
nico-rosberg,93,7,17-india,2012
romain-grosjean,90,8,17-india,2012
felipe-massa,89,9,17-india,2012
sergio-perez,66,10,17-india,2012
kamui-kobayashi,50,11,17-india,2012
nico-hulkenberg,49,12,17-india,2012
paul-di-resta,44,13,17-india,2012
michael-schumacher,43,14,17-india,2012
pastor-maldonado,33,15,17-india,2012
bruno-senna,26,16,17-india,2012
jean-eric-vergne,12,17,17-india,2012
daniel-ricciardo,9,18,17-india,2012
timo-glock,0,19,17-india,2012
heikki-kovalainen,0,20,17-india,2012
vitaly-petrov,0,21,17-india,2012
jerome-dambrosio,0,22,17-india,2012
charles-pic,0,23,17-india,2012
narain-karthikeyan,0,24,17-india,2012
pedro-de-la-rosa,0,25,17-india,2012
sebastian-vettel,255,1,18-abu-dhabi,2012
fernando-alonso,245,2,18-abu-dhabi,2012
kimi-raikkonen,198,3,18-abu-dhabi,2012
mark-webber,167,4,18-abu-dhabi,2012
lewis-hamilton,165,5,18-abu-dhabi,2012
jenson-button,153,6,18-abu-dhabi,2012
felipe-massa,95,7,18-abu-dhabi,2012
nico-rosberg,93,8,18-abu-dhabi,2012
romain-grosjean,90,9,18-abu-dhabi,2012
sergio-perez,66,10,18-abu-dhabi,2012
kamui-kobayashi,58,11,18-abu-dhabi,2012
nico-hulkenberg,49,12,18-abu-dhabi,2012
paul-di-resta,46,13,18-abu-dhabi,2012
pastor-maldonado,43,14,18-abu-dhabi,2012
michael-schumacher,43,15,18-abu-dhabi,2012
bruno-senna,30,16,18-abu-dhabi,2012
jean-eric-vergne,12,17,18-abu-dhabi,2012
daniel-ricciardo,10,18,18-abu-dhabi,2012
timo-glock,0,19,18-abu-dhabi,2012
heikki-kovalainen,0,20,18-abu-dhabi,2012
vitaly-petrov,0,21,18-abu-dhabi,2012
jerome-dambrosio,0,22,18-abu-dhabi,2012
charles-pic,0,23,18-abu-dhabi,2012
narain-karthikeyan,0,24,18-abu-dhabi,2012
pedro-de-la-rosa,0,25,18-abu-dhabi,2012
sebastian-vettel,273,1,19-united-states,2012
fernando-alonso,260,2,19-united-states,2012
kimi-raikkonen,206,3,19-united-states,2012
lewis-hamilton,190,4,19-united-states,2012
mark-webber,167,5,19-united-states,2012
jenson-button,163,6,19-united-states,2012
